tripid,hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,dayType,mainmode,totalvehs,homelga,weekly_hhinc_group,annual_hhinc_group,hhpoststratweight,trippoststratweight
Y24H5740131P02T04,Y24H5740131,Y24H5740131P02,17,1050,17,1055,5,0.67853,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
Y24H5740131P02T05,Y24H5740131,Y24H5740131P02,17,1060,18,1110,50,54.51804,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
Y24H5740131P02T06,Y24H5740131,Y24H5740131P02,21,1305,22,1350,45,54.51804,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,946.335436235
Y24H5740131P03T01,Y24H5740131,Y24H5740131P03,7,440,8,490,50,24.92903,Education,Weekday,Public,2.0,Casey (C),15.0,15.0,1090.796564,746.800491716
Y24H5740131P03T02,Y24H5740131,Y24H5740131P03,15,945,16,995,50,24.92904,Education,Weekday,Public,2.0,Casey (C),15.0,15.0,1090.796564,746.800491716
Y24H5740131P04T01,Y24H5740131,Y24H5740131P04,6,410,7,420,10,1.48545,Education,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,1315.567514218
Y24H5740131P04T02,Y24H5740131,Y24H5740131P04,15,900,15,940,40,1.48545,Education,Weekday,Active,2.0,Casey (C),15.0,15.0,1090.796564,1315.567514218
Y24H5740131P04T03,Y24H5740131,Y24H5740131P04,17,1060,18,1110,50,54.51804,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,1315.567514218
Y24H5740131P04T04,Y24H5740131,Y24H5740131P04,21,1305,22,1350,45,54.51804,Recreational,Weekday,Private,2.0,Casey (C),15.0,15.0,1090.796564,1315.567514218
Y24H5740135P01T01,Y24H5740135,Y24H5740135P01,8,510,8,516,6,3.92445,Recreational,Weekend,Private,2.0,Casey (C),17.0,17.0,1189.321781,1716.889554007
Y24H5740135P01T02,Y24H5740135,Y24H5740135P01,10,636,10,642,6,3.92445,Recreational,Weekend,Private,2.0,Casey (C),17.0,17.0,1189.321781,1716.889554007
Y24H5740135P01T03,Y24H5740135,Y24H5740135P01,14,840,14,850,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1716.889554007
Y24H5740135P01T04,Y24H5740135,Y24H5740135P01,14,850,14,860,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1716.889554007
Y24H5740135P02T01,Y24H5740135,Y24H5740135P02,8,510,8,516,6,3.92445,Recreational,Weekend,Private,2.0,Casey (C),17.0,17.0,1189.321781,1264.225562462
Y24H5740135P02T02,Y24H5740135,Y24H5740135P02,10,636,10,642,6,3.92445,Recreational,Weekend,Private,2.0,Casey (C),17.0,17.0,1189.321781,1264.225562462
Y24H5740135P03T01,Y24H5740135,Y24H5740135P03,14,840,14,850,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1594.458749404
Y24H5740135P03T02,Y24H5740135,Y24H5740135P03,14,850,14,860,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1594.458749404
Y24H5740135P04T01,Y24H5740135,Y24H5740135P04,14,840,14,850,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1495.949232812
Y24H5740135P04T02,Y24H5740135,Y24H5740135P04,14,850,14,860,10,0.45935,Recreational,Weekend,Active,2.0,Casey (C),17.0,17.0,1189.321781,1495.949232812
Y24H5740305P01T01,Y24H5740305,Y24H5740305P01,10,634,11,706,72,6.17478,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740305P01T02,Y24H5740305,Y24H5740305P01,13,797,14,869,72,6.17478,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740305P01T03,Y24H5740305,Y24H5740305P01,15,956,16,963,7,0.50783,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740305P01T04,Y24H5740305,Y24H5740305P01,16,980,16,987,7,0.50783,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740305P01T05,Y24H5740305,Y24H5740305P01,18,1091,18,1097,6,0.45924,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740305P01T06,Y24H5740305,Y24H5740305P01,21,1273,21,1283,10,0.45924,Recreational,Weekday,Active,1.0,Stonnington (C),14.0,14.0,1160.296249,1078.703085594
Y24H5740309P01T01,Y24H5740309,Y24H5740309P01,13,819,13,828,9,0.61828,Recreational,Weekday,Active,1.0,Stonnington (C),18.0,18.0,919.2661975,650.229827515
Y24H5740309P01T02,Y24H5740309,Y24H5740309P01,14,840,14,842,2,0.09066,Recreational,Weekday,Active,1.0,Stonnington (C),18.0,18.0,919.2661975,650.229827515
