tripid,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10
Y24H6200410P01T02,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391
Y24H6200410P01T03,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391
Y24H6200410P01T04,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391
Y24H6200410P01T05,1937.63906947,1888.310201432,0.0,1793.608719816,2013.355719834,2079.025060087,2141.778841173,1947.381954695,2124.127258678,2547.658992484,2100.896885391
Y24H6200420P01T01,4860.700140365,5073.193669885,0.0,4905.144523817,5356.857439539,4920.290402201,4770.04449734,4971.630714515,5327.720847064,5768.441017232,6203.007435013
Y24H6200420P01T02,4860.700140365,5073.193669885,0.0,4905.144523817,5356.857439539,4920.290402201,4770.04449734,4971.630714515,5327.720847064,5768.441017232,6203.007435013
Y24H6200420P02T01,3421.010484315,3575.053051141,0.0,3459.064801067,3618.243601903,3827.567791429,3168.465123803,4542.234669538,3502.260858537,3801.756905305,3813.250862442
Y24H6200420P02T02,3421.010484315,3575.053051141,0.0,3459.064801067,3618.243601903,3827.567791429,3168.465123803,4542.234669538,3502.260858537,3801.756905305,3813.250862442
Y24H6200420P02T03,3421.010484315,3575.053051141,0.0,3459.064801067,3618.243601903,3827.567791429,3168.465123803,4542.234669538,3502.260858537,3801.756905305,3813.250862442
Y24H6200420P02T04,3421.010484315,3575.053051141,0.0,3459.064801067,3618.243601903,3827.567791429,3168.465123803,4542.234669538,3502.260858537,3801.756905305,3813.250862442
Y24H6200420P03T01,3411.816174878,3460.26726915,0.0,3425.182981021,3337.186461349,3806.076664853,3172.050020217,4181.728012835,3865.724191958,4096.716019151,3571.896751071
Y24H6200420P03T02,3411.816174878,3460.26726915,0.0,3425.182981021,3337.186461349,3806.076664853,3172.050020217,4181.728012835,3865.724191958,4096.716019151,3571.896751071
Y24H6200420P04T01,3298.186325736,3572.962742157,0.0,3291.550126347,3303.936445117,3460.263117042,3128.482400528,3932.133325852,3416.237326225,4338.215857414,3582.160736713
Y24H6200420P04T02,3298.186325736,3572.962742157,0.0,3291.550126347,3303.936445117,3460.263117042,3128.482400528,3932.133325852,3416.237326225,4338.215857414,3582.160736713
Y24H6200420P04T03,3298.186325736,3572.962742157,0.0,3291.550126347,3303.936445117,3460.263117042,3128.482400528,3932.133325852,3416.237326225,4338.215857414,3582.160736713
