hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6160214,Y24H6160214P05,11,660,11,669,9.0,0.42122,Recreational,967.169724564,Weekend,Active,1.0,City,870.3492851,18,18
Y24H6160215,Y24H6160215P03,13,821,16,995,174.0,2.36355,Recreational,591.123747413,Weekday,Active,2.0,City,610.2648887,15,15
Y24H6160215,Y24H6160215P04,15,955,16,960,5.0,0.51857,Recreational,1044.058983282,Weekday,Active,2.0,City,610.2648887,15,15
Y24H6160216,Y24H6160216P02,10,600,10,610,10.0,0.22594,Recreational,407.570818396,Weekday,Active,2.0,City,730.6703999,14,14
Y24H6160216,Y24H6160216P02,11,660,11,670,10.0,0.22594,Work,407.570818396,Weekday,Active,2.0,City,730.6703999,14,14
Y24H6160239,Y24H6160239P01,9,544,9,547,3.0,0.20618,Recreational,467.988588227,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160239,Y24H6160239P01,9,554,9,557,3.0,0.20628,Recreational,467.988588227,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160239,Y24H6160239P01,15,958,16,961,3.0,0.20628,Recreational,467.988588227,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160239,Y24H6160239P01,16,967,16,972,5.0,0.20628,Recreational,467.988588227,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160239,Y24H6160239P03,9,544,9,547,3.0,0.20618,Recreational,788.727763117,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160239,Y24H6160239P03,16,967,16,972,5.0,0.20628,Recreational,788.727763117,Weekday,Active,1.0,City,645.7016438,18,18
Y24H6160304,Y24H6160304P02,13,837,14,856,19.0,1.49539,Recreational,867.504054683,Weekday,Active,1.0,City,1352.803927,13,13
Y24H6160304,Y24H6160304P02,14,860,14,879,19.0,1.94629,Recreational,867.504054683,Weekday,Active,1.0,City,1352.803927,13,13
Y24H6160304,Y24H6160304P02,15,939,15,941,2.0,0.07926,Recreational,867.504054683,Weekday,Active,1.0,City,1352.803927,13,13
Y24H6160310,Y24H6160310P01,8,505,8,532,27.0,0.80453,Work,941.518033517,Weekday,Active,0.0,City,1714.210741,12,12
Y24H6160310,Y24H6160310P01,17,1046,17,1055,9.0,0.80453,Work,941.518033517,Weekday,Active,0.0,City,1714.210741,12,12
Y24H6160311,Y24H6160311P01,14,875,14,876,1.0,0.12113,Work,602.69050718,Weekday,Active,1.0,City,1666.81824,6,6
Y24H6160311,Y24H6160311P01,14,890,14,891,1.0,0.12126,Work,602.69050718,Weekday,Active,1.0,City,1666.81824,6,6
Y24H6160327,Y24H6160327P01,11,669,11,684,15.0,1.20208,Recreational,969.023870883,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P01,12,740,12,765,25.0,1.20208,Recreational,969.023870883,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P01,18,1105,18,1115,10.0,0.56186,Recreational,969.023870883,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P01,20,1237,20,1248,11.0,0.56186,Recreational,969.023870883,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P02,10,600,10,610,10.0,1.23857,Work,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P02,10,613,10,640,27.0,1.23857,Work,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P02,11,669,11,684,15.0,1.20208,Recreational,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
Y24H6160327,Y24H6160327P02,12,740,12,765,25.0,1.20208,Recreational,741.030338004,Weekend,Active,1.0,City,749.2065356,16,16
