hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5740317,Y24H5740317P02,12,745,12,747,2.0,0.1046,Recreational,692.633313734,Weekday,Active,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P02,13,795,13,807,12.0,4.43276,Recreational,692.633313734,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P02,17,1075,17,1077,2.0,0.72871,Recreational,692.633313734,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740317,Y24H5740317P02,19,1185,19,1187,2.0,0.72871,Recreational,692.633313734,Weekday,Private,2.0,City,1361.976409,14,14
Y24H5740318,Y24H5740318P01,10,642,10,657,15.0,0.88951,Work,831.088375256,Weekday,Active,0.0,City,1065.345241,2,2
Y24H5740318,Y24H5740318P01,12,732,12,748,16.0,1.22592,Work,831.088375256,Weekday,Public,0.0,City,1065.345241,2,2
Y24H5740326,Y24H5740326P01,12,728,12,740,12.0,0.67256,Recreational,1187.192547517,Weekday,Private,1.0,City,928.236999,8,8
Y24H5740326,Y24H5740326P01,12,770,13,782,12.0,0.67265,Recreational,1187.192547517,Weekday,Active,1.0,City,928.236999,8,8
Y24H5740326,Y24H5740326P01,14,876,15,900,24.0,19.25591,Recreational,1187.192547517,Weekday,Private,1.0,City,928.236999,8,8
Y24H5740326,Y24H5740326P01,18,1130,19,1158,28.0,19.25591,Recreational,1187.192547517,Weekday,Private,1.0,City,928.236999,8,8
Y24H5740328,Y24H5740328P01,11,687,11,690,3.0,0.81019,Recreational,1582.182765534,Weekend,Private,1.0,City,993.1770793,8,8
Y24H5740328,Y24H5740328P01,11,705,11,708,3.0,0.81019,Recreational,1582.182765534,Weekend,Private,1.0,City,993.1770793,8,8
Y24H5740331,Y24H5740331P01,8,525,8,535,10.0,1.03956,Work,804.67558497,Weekday,Private,2.0,City,1089.581127,12,12
Y24H5740331,Y24H5740331P01,19,1140,19,1150,10.0,1.03956,Work,804.67558497,Weekday,Private,2.0,City,1089.581127,12,12
