hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H5910321,Y24H5910321P01,13,786,13,803,17,1.19747,Work,559.757291332,Weekend,Active,1.0,City,503.7943779,17,17
Y24H6150507,Y24H6150507P01,11,705,13,780,75,73.73235,Recreational,805.719215881,Weekend,Private,1.0,City,694.2205426,5,5
Y24H6230405,Y24H6230405P01,20,1205,20,1235,30,27.00863,Recreational,347.483500793,Weekday,Private,1.0,City,295.7304492,10,10
Y24H6030123,Y24H6030123P02,15,905,15,915,10,4.18794,Recreational,540.287766304,Weekday,Private,2.0,Shire,447.288608,13,13
Y24H5880117,Y24H5880117P02,7,465,8,510,45,33.76441,Work,626.18766981,Weekday,Private,2.0,Shire,636.1710167,17,17
Y24H6126132,Y24H6126132P01,14,876,14,877,1,0.50731,Recreational,203.814521451,Weekday,Private,2.0,Shire,220.5506977,1,1
Y24H6030531,Y24H6030531P01,12,750,12,760,10,0.87174,Recreational,419.422841012,Weekday,Active,1.0,City,727.6688707,10,10
Y24H6156136,Y24H6156136P01,9,585,9,593,8,Missing,Recreational,381.491713749,Weekday,Private,2.0,Shire,270.84712,4,4
Y24H6210217,Y24H6210217P01,20,1250,21,1260,10,2.81139,Recreational,496.86415071,Weekday,Private,1.0,City,509.0942258,6,6
Y24H6130432,Y24H6130432P01,14,841,14,845,4,1.40352,Recreational,975.136406463,Weekday,Private,2.0,City,1225.392066,6,6
Y24H6070320,Y24H6070320P03,20,1200,20,1215,15,3.03828,Recreational,650.869696547,Weekend,Private,1.0,City,538.8869455,13,13
Y24H5980532,Y24H5980532P01,16,975,16,995,20,7.2549,Recreational,768.902414952,Weekday,Private,2.0,City,780.4575203,14,14
Y24H5900409,Y24H5900409P01,17,1025,17,1043,18,4.70491,Recreational,895.780166143,Weekday,Private,1.0,City,1222.370697,7,7
Y24H6076209,Y24H6076209P01,8,532,8,533,1,0.72608,Recreational,212.744580714,Weekday,Private,1.0,City,206.0498578,4,4
Y24H5840222,Y24H5840222P01,19,1169,19,1184,15,7.91659,Recreational,724.736771341,Weekday,Private,3.0,City,862.2730877,7,7
Y24H6020508,Y24H6020508P05,15,922,15,930,8,1.0248,Recreational,567.497233098,Weekday,Private,2.0,City,357.8378656,18,18
Y24H5880118,Y24H5880118P01,11,704,11,714,10,3.54882,Work,536.34298223,Weekday,Private,1.0,Shire,535.9030357,8,8
Y24H6210523,Y24H6210523P02,7,450,8,488,38,36.21897,Work,372.062338848,Weekday,Private,2.0,Shire,644.5170242,18,18
Y24H6090514,Y24H6090514P01,19,1183,20,1238,55,65.37237,Recreational,509.483194365,Weekend,Private,1.0,City,455.0701145,6,6
Y24H5820101,Y24H5820101P03,15,936,16,985,49,32.54635,Recreational,394.06268125,Weekday,Private,4.0,City,381.7108283,11,11
Y24H5910404,Y24H5910404P04,17,1035,17,1039,4,0.83813,Recreational,211.698435317,Weekday,Private,1.0,City,209.9839175,8,8
Y24H6110315,Y24H6110315P03,14,869,14,876,7,3.86882,Recreational,583.814746932,Weekday,Private,3.0,City,446.8707911,17,17
Y24H5820522,Y24H5820522P01,20,1205,20,1212,7,3.27258,Recreational,155.030925212,Weekday,Private,1.0,City,268.9676557,12,12
Y24H6060110,Y24H6060110P01,7,453,7,460,7,0.32348,Recreational,528.684923945,Weekday,Active,0.0,City,457.7448155,7,7
Y24H5910327,Y24H5910327P01,16,973,16,988,15,3.58304,Recreational,384.886889075,Weekend,Private,2.0,City,417.9030563,14,14
